,DN,nome,ano,area
168,4,Xingú,2008,115310068.0
169,4,Xingú,2021,129148867.0
170,5,Itabapoana,2008,297042.0
171,5,Itabapoana,2021,156864.0
172,5,Jequitinhonha,2008,400294.0
173,5,Jequitinhonha,2021,210909.0
174,5,Mucuri,2008,993809.0
175,5,Mucuri,2021,1013378.0
176,5,Paraguaçu,2008,6304252.0
177,5,Paraguaçu,2021,6705571.0
178,5,Paraíba do Sul,2008,577058.0
179,5,Paraíba do Sul,2021,641175.0
180,5,Parnaíba,2008,19380519.0
181,5,Parnaíba,2021,19501056.0
182,5,Tietê,2008,400294.0
183,9,Antas,2008,1420955.0
184,9,Antas,2021,2798680.0
185,9,Araguari,2008,460361.0
186,9,Araguari,2021,445167.0
187,9,Capivari,2008,28379.0
188,9,Capivari,2021,287015.0
189,9,Doce,2008,698398.0
190,9,Doce,2021,1383139.0
191,9,Grande,2008,434283.0
192,9,Grande,2021,1281349.0
193,9,Iguaçu,2008,7695959.0
194,9,Iguaçu,2021,16854332.0
195,9,Itabapoana,2008,554154.0
196,9,Itabapoana,2021,13382.0
197,9,Itajaí-Açú,2008,529050.0
198,9,Itajaí-Açú,2021,1431420.0
199,9,Itiquira,2021,2116397.0
200,9,Jacuí,2008,1644301.0
201,9,Jacuí,2021,2116397.0
202,9,Jari,2008,129619.0
203,9,Jari,2021,138557.0
204,9,Jequitinhonha,2008,56451.0
205,9,Jequitinhonha,2021,335001.0
206,9,Madeira,2008,19050.0
207,9,Madeira,2021,40694.0
208,9,Manso,2021,12973.0
209,9,Mucuri,2008,68928.0
210,9,Mucuri,2021,499413.0
211,9,Paranapanema,2008,16837667.0
212,9,Paranapanema,2021,9728149.0
213,9,Paranaíba,2008,806612.0
214,9,Paranaíba,2021,828764.0
215,9,Paraná,2008,1047805.0
216,9,Paraná,2021,3389343.0
217,9,Paraíba do Sul,2008,177741.0
218,9,Paraíba do Sul,2021,1136104.0
219,9,Parnaíba,2008,111353.0
220,9,Parnaíba,2021,473927.0
221,9,São Francisco,2008,485775.0
222,9,São Francisco,2021,2207657.0
223,9,Tapajós,2008,7858.0
224,9,Tapajós,2021,44535.0
225,9,Tietê,2008,56451.0
226,9,Tietê,2021,2036297.0
227,9,Tocantins,2021,1511345.0
228,9,Uruguai,2008,19432184.0
229,9,Uruguai,2021,35049107.0
230,9,Xingú,2008,81302.0
231,9,Xingú,2021,140793.0
232,11,Antas,2008,10941.0
233,11,Araguari,2008,20977651.0
234,11,Araguari,2021,13800469.0
235,11,Capivari,2008,30788.0
236,11,Capivari,2021,20255.0
237,11,Correntes,2008,9791417.0
238,11,Correntes,2021,11508749.0
239,11,Curruá Una,2008,5482383.0
240,11,Curruá Una,2021,6654357.0
241,11,Doce,2008,5350945.0
242,11,Doce,2021,5335465.0
243,11,Grande,2008,79368228.0
244,11,Grande,2021,116206576.0
245,11,Iguaçu,2008,25531543.0
246,11,Iguaçu,2021,21821714.0
247,11,Itabapoana,2008,11759265.0
248,11,Itabapoana,2021,6813099.0
249,11,Itajaí-Açú,2008,29541.0
250,11,Itajaí-Açú,2021,5590.0
251,11,Itiquira,2008,1229674.0
252,11,Itiquira,2021,955282.0
253,11,Jacuí,2008,1037601.0
254,11,Jacuí,2021,955282.0
255,11,Jari,2008,14978209.0
256,11,Jari,2021,22287508.0
257,11,Jauru,2008,847389.0
258,11,Jauru,2021,41478.0
259,11,Jequitinhonha,2008,9071127.0
260,11,Jequitinhonha,2021,22949816.0
261,11,Madeira,2008,1008981026.0
262,11,Madeira,2021,525356913.0
263,11,Manso,2008,370742.0
264,11,Manso,2021,1427970.0
265,11,Mucuri,2008,487577.0
266,11,Mucuri,2021,1080944.0
267,11,Paraguaçu,2008,318409.0
268,11,Paraguaçu,2021,671684.0
269,11,Paranapanema,2008,86348036.0
270,11,Paranapanema,2021,79276215.0
271,11,Paranaíba,2008,181062220.0
272,11,Paranaíba,2021,245438664.0
273,11,Paraná,2008,476379751.0
274,11,Paraná,2021,512165697.0
275,11,Paraíba do Sul,2008,9694110.0
276,11,Paraíba do Sul,2021,11049360.0
277,11,Parnaíba,2008,121550463.0
278,11,Parnaíba,2021,176066415.0
279,11,São Francisco,2008,174712603.0
280,11,São Francisco,2021,271271084.0
281,11,Tapajós,2008,122222859.0
282,11,Tapajós,2021,94154856.0
283,11,Tietê,2008,9071127.0
284,11,Tietê,2021,63158966.0
285,11,Tocantins,2008,97845653.0
286,11,Tocantins,2021,575032223.0
287,11,Uatuamã,2008,97845653.0
288,11,Uatuamã,2021,112654100.0
289,11,Uruguai,2008,64164031.0
290,11,Uruguai,2021,46417296.0
291,11,Xingú,2008,246017130.0
292,11,Xingú,2021,265048283.0
293,12,Antas,2008,46781625.0
294,12,Antas,2021,35504246.0
295,12,Araguari,2008,4893169.0
296,12,Araguari,2021,2376862.0
297,12,Correntes,2008,30720.0
298,12,Correntes,2021,69130.0
299,12,Curruá Una,2008,3543851.0
300,12,Curruá Una,2021,7142968.0
301,12,Doce,2008,1981237.0
302,12,Doce,2021,2648972.0
303,12,Grande,2008,15938372.0
304,12,Grande,2021,31620768.0
305,12,Iguaçu,2008,315860.0
306,12,Iguaçu,2021,299569.0
307,12,Itabapoana,2008,98427.0
308,12,Itajaí-Açú,2008,98427.0
309,12,Itajaí-Açú,2021,36595.0
310,12,Itiquira,2008,9408.0
311,12,Itiquira,2021,14121281.0
312,12,Jacuí,2008,23008707.0
